1001; Молоко 2,0%;Молоко питьевое пастеризованное 2%, 1л, ГОСТ Р 52090; 1000; http://sheksnamaslo.ru/data/products/sheksna_milk20_1000ml_pic.jpg; 38.0; 4; Молоко — продукт животного происхождения, является одним из важных продуктов в рационе питания человека. <p/> Молоко может отличаться по составу в зависимости от многих факторов (порода животного, рацион питания и др.) и состоит, приблизительно, на 87% из воды и на 13% из сухого вещества (молочного жира, белка, молочного сахара и минеральных веществ). Молоко богато витаминами А, D и группы В (В1, В2, В12), макро- и микроэлементами, такими как: кальций, калий, фосфор, магний, натрий, железо, фтор, йод. Отличительной особенностью этого замечательного продукта является то, что питательные вещества, содержащиеся в нем, прекрасно усваиваются организмом человека.;;38.0;38.0;38.0;38.0;Вид фасовки :	Пюр-пак | Размер фасовки :	1000 г|Массовая доля жира (М.Д.Ж.) : 	2% | Срок хранения :	7 суток  ;;1000;1;15;0;;пак
1002; Молоко 3,2%;Молоко питьевое пастеризованное 2%, 1л, ГОСТ Р 52090; 1000; http://sheksnamaslo.ru/data/products/sheksna_milk32_1000ml_pic.jpg; 48.0; 4; Молоко — продукт животного происхождения, является одним из важных продуктов в рационе питания человека. <p/> Молоко может отличаться по составу в зависимости от многих факторов (порода животного, рацион питания и др.) и состоит, приблизительно, на 87% из воды и на 13% из сухого вещества (молочного жира, белка, молочного сахара и минеральных веществ). Молоко богато витаминами А, D и группы В (В1, В2, В12), макро- и микроэлементами, такими как: кальций, калий, фосфор, магний, натрий, железо, фтор, йод. Отличительной особенностью этого замечательного продукта является то, что питательные вещества, содержащиеся в нем, прекрасно усваиваются организмом человека.;;48.0;48.0;48.0;48.0;Вид фасовки :	Пюр-пак | Размер фасовки :	1000 г|Массовая доля жира (М.Д.Ж.) : 	3.2% | Срок хранения :	7 суток  ;;1000;1;15;0;;пак
1003; Молоко цельное 4%; Молоко Отборное питьевое пастеризованное 3,4-4,5% 1л, ТУ 9222-242-00419485-04;1000; http://sheksnamaslo.ru/data/products/sheksna_milk_otbor_1000ml_pic.jpg;52.3;4;Молоко отборное - это молоко, полностью сохранившее все свои полезные свойства. Для его изготовления применяется только свежее цельное молоко самого высокого качества без добавления обезжиренного молока для нормализации. Молоко отличается повышенным содержанием молочного жира. ОТБОРНОЕ – это исключительно натуральное молоко, содержащее полный комплекс легкоусвояемых белков, жиров, углеводов, витаминов и микроэлементов.«Отборное» молоко имеет такую жирность, какой его наделила корова, поскольку при производстве его не подвергают сепарированию (делению на сливки и обезжиренное молоко). Массовая доля жира «Отборного» молока, в среднем, составляет от 3,4 до 4,5 %, жирность каждой партии молока измеряют  в лабораторных условиях и в момент розлива указывают на потребительской упаковке.;;52.3;52.3;52.3;52.3;Вид фасовки :	Пюр-пак | Размер фасовки :	1000 г|Массовая доля жира (М.Д.Ж.) : 	от 3,4 до 4,5% | Срок хранения :	7 суток  ;;1000;1;15;0;;пак
1100; Масло Крестьянское 350г; Масло Сливочное Крестьянское 350г ГОСТ Р 52969; 350; http://sheksnamaslo.ru/data/products/Maslo_lotok_krest_350_pic.jpg; 131.1; 12; Сливочное масло - гордость и марка предприятия. Нежное и ароматное масло вырабатывается по традициям Вологодского маслоделия из пастеризованных сливок высокого качества - применяется лишь отборное молоко-сырье. <p/>Свежие сливки подвергаются пастеризации при высоких температурах. Повышенное/пониженное содержание жира и пахты определяет наименование масла – «Традиционное» м.д.ж. 82,5%, «Крестьянское» м.д.ж. 72,5%, «Бутербродное» м.д.ж. 61,5%. Таким образом, производителю удается удовлетворить вкус самого взыскательного покупателя. Сливочное масло в упаковке «полипропиленовый контейнер с фольговой крышечкой» разливается в контейнер непосредственно сразу с маслообразователя, что позволяет сохранять натуральный вкус и запах сливочного масла, а также удобную в употреблении пластинчатую консистенцию.;;131.1;131.1;131.1;131.1;Вид фасовки :	п/п контейнер с фольговой крышкой|Размер фасовки :	350 г| Массовая доля жира (М.Д.Ж.) :	72,5% | Срок хранения :	20 суток;;1000;1;1;0;;пачка
1200; Творог 5% 190г; Творог 5% в пластиковом стаканчике 190г, ГОСТ Р 52096; 190;http://sheksnamaslo.ru/data/products/sheksna_tvorog_5_190_pic.jpg;38.0;2; Творог - высококонцентрированный белковый кисломолочный продукт. Благодаря высокому содержанию полноценного легкоусвояемого белка, благоприятному набору аминокислот, наличию в значительных количествах кальция и фосфора, он просто незаменим в рационе человека. Изготавливается из пастеризованного и нормализованного цельного и обезжиренного молокапутем сквашивания закваской, приготовленной на чистых культурах молочнокислых бактерий, с последующим удале­нием из сгустка части сыворотки.  Имеет кисломолочный вкус и запах без посторонних оттенков. Консистенция - нежная и однородная, для жирного тво­рога - слегка мажущаяся, для нежирного - допускается неоднород­ная, рассыпчатая, с незначительным выделением сыворотки. Цвет белый, слегка желтоватый, с кремовым оттенком, равномер­ным по всей массе.;;38.0;38.0;38.0;38.0;Вид фасовки :	п/п стакан с фольговой крышкой | Размер фасовки :	190 г | Массовая доля жира (М.Д.Ж.) :	5% |Срок хранения 	:7 суток;;1000;1;24;0;;стакан
1201; Творог 5% весовой; Творог 5% на развес, ГОСТ Р 52096; 1000;http://gnpcompany.ru/wp-content/uploads/2012/05/tvorog-miska1.jpg;38;2; Творог - высококонцентрированный белковый кисломолочный продукт. Благодаря высокому содержанию полноценного легкоусвояемого белка, благоприятному набору аминокислот, наличию в значительных количествах кальция и фосфора, он просто незаменим в рационе человека. Изготавливается из пастеризованного и нормализованного цельного и обезжиренного молокапутем сквашивания закваской, приготовленной на чистых культурах молочнокислых бактерий, с последующим удале­нием из сгустка части сыворотки.  Имеет кисломолочный вкус и запах без посторонних оттенков. Консистенция - нежная и однородная, для жирного тво­рога - слегка мажущаяся, для нежирного - допускается неоднород­ная, рассыпчатая, с незначительным выделением сыворотки. Цвет белый, слегка желтоватый, с кремовым оттенком, равномер­ным по всей массе.;"http://static2.insales.ru/files/1/102/458854/original/%D1%82%D0%B2%D0%BE%D1%80%D0%BE%D0%B3.jpg|http://sekretrls.ru/uploads/posts/2014-02/48cd48681508e0ccc3b323f3552b2742.jpg|http://cs323423.vk.me/v323423422/631f/C170Ohgw7Yw.jpg";38;38;38;38;Вид фасовки :	развесной | Массовая доля жира (М.Д.Ж.) :	5% |Срок хранения :7 суток;;1000;0.1;5;1;;кг
