6001;ВАРЕНОЕ молоко сгущенное ;ВАРЕНОЕ молоко сгущенное с сахаром ГОСТ Р 54540-2011;370;;44.85;17|9;;;64;58;;;;;6000;1;45;0;;шт
6002;Молоко сгущенное КОФЕ ;Молоко сгущенное с сахаром и КОФЕ ГОСТ Р 53947-2010;400;;65.66;17|9;;;94;85;;;;;6000;1;45;0;;шт
6003;Молоко сгущенное КАКАО;Молоко сгущенное с сахаром и КАКАО ГОСТ Р 53947-2010;400;;54.39;17|9;;;78;71;;;;;6000;1;45;0;;шт
6004;СЛИВКИ сгущенные;СЛИВКИ сгущенные с сахаром ГОСТ Р 53436-2009;380;;65.66;17|9;;;94;85;;;;;6000;1;45;0;;шт
6005;Молоко цельное сгущенное;Молоко цельное сгущенное с сахаром ГОСТ Р 53436-2009;270;;36.8;17|9;;;53;48;;;;;6000;1;24;0;;шт
6006;Молоко цельное сгущенное;"Молоко цельное сгущенное с сахаром ГОСТ Р 53436-2009 *ИЗГОТОВЛЕНО ДЛЯ РОСРЕЗЕРВА*";400;;48.3;17|9;;;62;56;;;;;6000;1;45;0;;шт
