2015;Биойогурт  фруктово-ягодный 2,5%;Биойогурт  фруктово-ягодный 2,5%;200;http://vomoloko.ru/upload/files/vologda/yogurt25.jpg;17.15;6;;;26;24;;;Упаковка:П/п стакан с фольговой крышкой|Срок хранения:14 суток|Изготовлен из натурального молока, закваски на чистых культурах молочнокислых  микроорганизмов и  бифидобактерий, содержит кусочки фруктов и ягод, без консервантов.|Состав: обезжиренное молоко, сливки, наполнитель (фрукты,сахар, стабилизатор пектин, регулятор кислотности, лимонная кислота, натуральный краситель *лютейн*,ароматизатор идентичный натуральному), сахар-песок, молоко сухое обезжиренное, стабилизатор *Агар*, с использованием заквасок на чистых культурах молочнокислых микроорганизмов и бифидобактерий. Выпускаются со вкусами: Персик, Абрикос, Клубника, Ананас ;;2000;1;12;0;;шт
2016;Ацидофилин 2,7%;Ацидофилин 2,7%;200;http://vomoloko.ru/upload/files/vologda/acidofilin.jpg;20760;6;;;20;18;;;Упаковка:П/п стакан с фольговой крышкой|Срок хранения:10 суток|Состав: обезжиренное  молоко, сливки с использованием  заквасок на чистых культурах молочнокислых микроорганизмов и кефирных грибков.;;2000;1;12;0;;шт
2017;Сырки глазированные *Вологоша* ванильные 12%;Сырки глазированные *Вологоша* ванильные 12%;45;http://vomoloko.ru/upload/files/vologda/syrki_vologosha.jpg;36130;2;;;18;16;;;Упаковка:пленка|Срок хранения:10 суток|Состав: творог, глазурь кондитерская (сахар,заменитель какао-масла лауринового типа, какао- продукты, эмульгаторы (Е322,Е476), кокосовое масло, ароматизатор идентичный натуральному *Ванилин*), сахар - песок, сливки, масло сливочное, стабилизатор-эмульгатор *Комплит-гель Т-01*, ароматизатор идентичный натуральному *Ванилин*.;;2000;1;1;0;;шт
2018;Сырки глазированные *Вологоша* с наполнителем 12%;Сырки глазированные *Вологоша* с наполнителем 12%;45;http://vomoloko.ru/upload/files/vologda/syrki_vologosha.jpg;36130;2;;;18;16;;;Упаковка:пленка|Срок хранения:10 суток|Состав: творог, глазурь кондитерская (сахар,заменитель какао-масла лауринового типа, какао- продукты, эмульгаторы (Е322,Е476), кокосовое масло, ароматизатор идентичный натуральному *Ванилин*), сахар - песок, наполнитель фруктово-ягодный, масло сливочное, стабилизатор-эмульгатор *Комплит-гель Т-01*.;;2000;1;1;0;;шт
2019;Сырки творожные сладкие *Вологжанка* с изюмом 9%;Сырки творожные сладкие *Вологжанка* с изюмом 9%;100;http://vomoloko.ru/upload/files/vologda/syrki-s-izyumom.jpg;41838;2;;;26;24;;;Упаковка:пленка|Срок хранения:7 суток|Состав:творог, сахар-песок, изюм, масло сливочное, ароматизатор идентичный натуральному *Ванилин*.  ;;2000;1;54;0;;шт
2020;Масса творожная сладкая с изюмом *Вологжанка* 8%;Масса творожная сладкая с изюмом *Вологжанка* 8%;220;http://vomoloko.ru/upload/files/vologda/massa-tvorozhnaya-s-izyumom-8.jpg;36.13;2;;;52;47;;;Упаковка:П/п стакан с фольговой крышкой|Срок хранения:5 суток|Состав: творог, сахар-песок, сливки, изюм, масло сливочное, ароматизатор идентичный натуральному *Ванилин*.;;2000;1;16;0;;шт
2021;Коктейль молочный шоколадный 2,7%;Коктейль молочный шоколадный 2,7%;470;http://vomoloko.ru/upload/files/vologda/vologosha_0.jpg;26.63;4;;;37;34;;;Упаковка:Картонный пакет с крышкой|Срок хранения:10 суток|Состав: цельное  молоко, обезжиренное молоко, сахар - песок, наполнитель *Шоколад* (вода, сахар, какао-порошок, регулятор кислотности лимонная  кислота), стабилизатор каррагинан.;;2000;1;1;0;;шт
2022;Напиток сывороточный *Бодрость* с соком;Напиток сывороточный *Бодрость* с соком;500;http://vomoloko.ru/upload/files/vologda/bodrost_0.jpg;14.33;15;;;22;20;;;Упаковка:Картонный пакет с крышкой|Срок хранения:20 суток|Состав: сыворотка  творожная, сахар-песок, концентрированный  сок, регулятор кислотности лимонная  кислота, стабилизаторы (камедь рожкового дерева, пектин), натуральные и идентичные натуральным ароматизаторы, антиокислитель аскорбиновая кислота.;;2000;1;12;0;;шт
2023;Напиток сывороточный *Квасной*;Напиток сывороточный *Квасной*;1000;http://vomoloko.ru/upload/files/vologda/napitok_kvasnoy_cat_0.jpg;14.35;15;;;24;22;;;Упаковка:Картонный пакет с крышкой|Срок хранения:20 суток|Состав: сыворотка творожная, сахар-песок, солодовый экстракт, регулятор кислотности лимонная кислота, ароматизаторы натуральные и идентичные натуральным.;;2000;1;12;0;;шт
2024;Масло  Вологодское 82,5%;Масло  Вологодское 82,5%;180;http://vomoloko.ru/upload/files/vologda/maslo-vologodskoe-180gr-82_5.jpg;88.3;8;;;117;106;;;Упаковка:Фольга|Срок хранения:30 суток|Состав: пастеризованные сливки.;;2000;1;1;0;;шт
