9001;Молоко питьевое 2,5% бутылка;Молоко питьевое 2,5% бутылка;1000;;43.07;4;;;64;58;;;упаковка:п/эт бутылка|Срок хранения:5 суток;;9000;1;8;0;;шт
9002;Бифидок 2,5%;Бифидок 2,5%;450;;25.15;5;;;36;33;;;упаковка:п/эт бутылка|Срок хранения:5 суток;;9000;1;8;0;;шт
9003;Йогурт питьевой фруктовый 2,5%;Йогурт питьевой фруктовый 2,5%;450;;38.76;6;;;54;49;;;упаковка:п/эт бутылка|Срок хранения:10 суток;;9000;1;8;0;;шт
9004;Крем *Чародейка*  4%-ый с фруктами;Крем *Чародейка*  4%-ый с фруктами;180;;31.41;2;;;45;41;;;упаковка:п/стакан|Срок хранения:10 суток;;9000;1;8;0;;шт
9005;Молоко сухое цельное 26,0 %;Молоко сухое цельное 26,0 %;500;;139.50;17;;;200;182;;;упаковка:п/пакет|Срок хранения: 8 месяцев;;9000;1;1;0;;шт
