5000;"Конфеты *Мама Женя*";"Конфеты *Мама Женя*";1000;;250,5;23;;;383;348;;;;;5000;0.1;3;1;;кг
5001;"Конфеты*Королевские*(Папа Коля)";"Конфеты*Королевские*(Папа Коля)";1000;;250,5;23;;;383;348;;;;;5000;0.1;3;1;;кг
5002;"Конфеты *Свет души*";"Конфеты *Свет души*";1000;;215,15;23;;;328;298;;;;;5000;0.1;3;1;;кг
5003;"Конфеты *Восток* в фольге";"Конфеты *Восток* в фольге";1000;;218,85;23;;;337;306;;;;;5000;0.1;3;1;;кг
5004;"Конфеты *Слатушонина*";"Конфеты *Слатушонина*";1000;;226,55;23;;;349;318;;;;;5000;0.1;3;1;;кг
5005;"Конфеты *Чистое золото*";"Конфеты *Чистое золото*";1000;;231,38;23;;;356;324;;;;;5000;0.1;3;1;;кг
